Year,Jurisdiction,Average scale score,Standard Error
2015,Alabama,217,(1.4)
2015,Alaska,213,(1.3)
2015,Arizona,215,(1.3)
2015,Arkansas,218,(1.1)
2015,California,213,(1.7)
2015,Colorado,224,(1.6)
2015,Connecticut,229,(1.1)
2015,Delaware,224,(0.8)
2015,District of Columbia,212,(0.9)
2015,Florida,227,(1.0)
2015,Georgia,222,(1.2)
2015,Hawaii,215,(1.0)
2015,Idaho,222,(1.0)
2015,Illinois,222,(1.2)
2015,Indiana,227,(1.1)
2015,Iowa,224,(1.1)
2015,Kansas,221,(1.5)
2015,Kentucky,228,(1.2)
2015,Louisiana,216,(1.5)
2015,Maine,224,(0.9)
2015,Maryland,223,(1.3)
2015,Massachusetts,235,(1.0)
2015,Michigan,216,(1.3)
2015,Minnesota,223,(1.3)
2015,Mississippi,214,(1.0)
2015,Missouri,223,(1.1)
2015,Montana,225,(0.8)
2015,Nebraska,227,(1.1)
2015,Nevada,214,(1.2)
2015,New Hampshire,232,(1.0)
2015,New Jersey,229,(1.4)
2015,New Mexico,207,(1.0)
2015,New York,223,(1.1)
2015,North Carolina,226,(1.1)
2015,North Dakota,225,(0.7)
2015,Ohio,225,(1.2)
2015,Oklahoma,222,(1.1)
2015,Oregon,220,(1.4)
2015,Pennsylvania,227,(1.8)
2015,Rhode Island,225,(0.9)
2015,South Carolina,218,(1.4)
2015,South Dakota,220,(0.9)
2015,Tennessee,219,(1.4)
2015,Texas,218,(1.7)
2015,Utah,226,(1.1)
2015,Vermont,230,(0.8)
2015,Virginia,229,(1.7)
2015,Washington,226,(1.5)
2015,West Virginia,216,(1.2)
2015,Wisconsin,223,(1.1)
2015,Wyoming,228,(0.7)
2015,DoDEA,234,(0.7)
2015,Albuquerque,207,(1.6)
2015,Atlanta,212,(1.6)
2015,Austin,220,(1.8)
2015,Baltimore City,199,(1.7)
2015,Boston,219,(1.4)
2015,Charlotte,226,(1.6)
2015,Chicago,213,(1.4)
2015,Cleveland,197,(2.0)
2015,Dallas,204,(1.9)
2015,Detroit,186,(2.0)
2015,District of Columbia (DCPS),214,(1.0)
2015,Duval County (FL),225,(1.5)
2015,Fresno,199,(1.6)
2015,Hillsborough County (FL),230,(1.9)
2015,Houston,210,(1.9)
2015,Jefferson County (KY),222,(2.0)
2015,Los Angeles,204,(1.8)
2015,Miami-Dade,226,(1.3)
2015,Milwaukee,—,†
2015,New York City,214,(1.5)
2015,Philadelphia,201,(2.2)
2015,San Diego,216,(2.0)
2013,Alabama,219,(1.2)
2013,Alaska,209,(1.0)
2013,Arizona,213,(1.4)
2013,Arkansas,219,(0.9)
2013,California,213,(1.2)
2013,Colorado,227,(1.0)
2013,Connecticut,230,(0.9)
2013,Delaware,226,(0.8)
2013,District of Columbia,206,(0.9)
2013,Florida,227,(1.1)
2013,Georgia,222,(1.1)
2013,Hawaii,215,(1.0)
2013,Idaho,219,(0.9)
2013,Illinois,219,(1.4)
2013,Indiana,225,(1.0)
2013,Iowa,224,(1.1)
2013,Kansas,223,(1.3)
2013,Kentucky,224,(1.2)
2013,Louisiana,210,(1.3)
2013,Maine,225,(0.9)
2013,Maryland,232,(1.3)
2013,Massachusetts,232,(1.1)
2013,Michigan,217,(1.4)
2013,Minnesota,227,(1.2)
2013,Mississippi,209,(0.9)
2013,Missouri,222,(1.0)
2013,Montana,223,(0.8)
2013,Nebraska,223,(1.0)
2013,Nevada,214,(1.1)
2013,New Hampshire,232,(0.9)
2013,New Jersey,229,(1.3)
2013,New Mexico,206,(1.1)
2013,New York,224,(1.2)
2013,North Carolina,222,(1.1)
2013,North Dakota,224,(0.5)
2013,Ohio,224,(1.2)
2013,Oklahoma,217,(1.1)
2013,Oregon,219,(1.3)
2013,Pennsylvania,226,(1.3)
2013,Rhode Island,223,(0.9)
2013,South Carolina,214,(1.2)
2013,South Dakota,218,(1.0)
2013,Tennessee,220,(1.4)
2013,Texas,217,(1.1)
2013,Utah,223,(1.1)
2013,Vermont,228,(0.6)
2013,Virginia,229,(1.3)
2013,Washington,225,(1.4)
2013,West Virginia,215,(0.8)
2013,Wisconsin,221,(1.6)
2013,Wyoming,226,(0.6)
2013,DoDEA,232,(0.6)
2013,Albuquerque,207,(1.5)
2013,Atlanta,214,(1.3)
2013,Austin,221,(1.6)
2013,Baltimore City,204,(1.6)
2013,Boston,214,(1.1)
2013,Charlotte,226,(1.6)
2013,Chicago,206,(1.6)
2013,Cleveland,190,(1.9)
2013,Dallas,205,(1.4)
2013,Detroit,190,(2.2)
2013,District of Columbia (DCPS),206,(1.2)
2013,Duval County (FL),—,†
2013,Fresno,196,(1.7)
2013,Hillsborough County (FL),228,(1.3)
2013,Houston,208,(1.3)
2013,Jefferson County (KY),221,(1.2)
2013,Los Angeles,205,(1.6)
2013,Miami-Dade,223,(1.5)
2013,Milwaukee,199,(1.9)
2013,New York City,216,(1.4)
2013,Philadelphia,200,(1.7)
2013,San Diego,218,(1.6)
2011,Alabama,220,(1.3)
2011,Alaska,208,(1.1)
2011,Arizona,212,(1.2)
2011,Arkansas,217,(1.0)
2011,California,211,(1.8)
2011,Colorado,223,(1.3)
2011,Connecticut,227,(1.3)
2011,Delaware,225,(0.7)
2011,District of Columbia,201,(0.8)
2011,Florida,225,(1.1)
2011,Georgia,221,(1.1)
2011,Hawaii,214,(1.0)
2011,Idaho,221,(0.8)
2011,Illinois,219,(1.1)
2011,Indiana,221,(0.9)
2011,Iowa,221,(0.8)
2011,Kansas,224,(1.0)
2011,Kentucky,225,(1.0)
2011,Louisiana,210,(1.4)
2011,Maine,222,(0.7)
2011,Maryland,231,(0.9)
2011,Massachusetts,237,(1.0)
2011,Michigan,219,(1.2)
2011,Minnesota,222,(1.2)
2011,Mississippi,209,(1.2)
2011,Missouri,220,(0.9)
2011,Montana,225,(0.6)
2011,Nebraska,223,(1.0)
2011,Nevada,213,(1.0)
2011,New Hampshire,230,(0.8)
2011,New Jersey,231,(1.2)
2011,New Mexico,208,(1.0)
2011,New York,222,(1.1)
2011,North Carolina,221,(1.2)
2011,North Dakota,226,(0.5)
2011,Ohio,224,(1.0)
2011,Oklahoma,215,(1.1)
2011,Oregon,216,(1.1)
2011,Pennsylvania,227,(1.2)
2011,Rhode Island,222,(0.8)
2011,South Carolina,215,(1.2)
2011,South Dakota,220,(0.9)
2011,Tennessee,215,(1.1)
2011,Texas,218,(1.5)
2011,Utah,220,(1.0)
2011,Vermont,227,(0.6)
2011,Virginia,226,(1.1)
2011,Washington,221,(1.1)
2011,West Virginia,214,(0.8)
2011,Wisconsin,221,(0.8)
2011,Wyoming,224,(0.8)
2011,DoDEA,229,(0.5)
2011,Albuquerque,209,(1.6)
2011,Atlanta,212,(1.4)
2011,Austin,224,(2.3)
2011,Baltimore City,200,(1.7)
2011,Boston,217,(0.8)
2011,Charlotte,224,(1.2)
2011,Chicago,203,(1.3)
2011,Cleveland,193,(0.9)
2011,Dallas,204,(1.6)
2011,Detroit,191,(2.0)
2011,District of Columbia (DCPS),201,(1.0)
2011,Duval County (FL),—,†
2011,Fresno,194,(2.4)
2011,Hillsborough County (FL),231,(1.7)
2011,Houston,213,(1.6)
2011,Jefferson County (KY),223,(1.3)
2011,Los Angeles,201,(1.2)
2011,Miami-Dade,221,(1.5)
2011,Milwaukee,195,(1.7)
2011,New York City,216,(1.2)
2011,Philadelphia,199,(1.8)
2011,San Diego,215,(1.7)
2009,Alabama,216,(1.2)
2009,Alaska,211,(1.2)
2009,Arizona,210,(1.2)
2009,Arkansas,216,(1.1)
2009,California,210,(1.5)
2009,Colorado,226,(1.2)
2009,Connecticut,229,(1.1)
2009,Delaware,226,(0.5)
2009,District of Columbia,202,(1.0)
2009,Florida,226,(1.0)
2009,Georgia,218,(1.1)
2009,Hawaii,211,(1.0)
2009,Idaho,221,(0.9)
2009,Illinois,219,(1.4)
2009,Indiana,223,(1.1)
2009,Iowa,221,(1.2)
2009,Kansas,224,(1.3)
2009,Kentucky,226,(1.1)
2009,Louisiana,207,(1.1)
2009,Maine,224,(0.9)
2009,Maryland,226,(1.4)
2009,Massachusetts,234,(1.1)
2009,Michigan,218,(1.0)
2009,Minnesota,223,(1.3)
2009,Mississippi,211,(1.1)
2009,Missouri,224,(1.1)
2009,Montana,225,(0.8)
2009,Nebraska,223,(1.0)
2009,Nevada,211,(1.1)
2009,New Hampshire,229,(1.0)
2009,New Jersey,229,(0.9)
2009,New Mexico,208,(1.4)
2009,New York,224,(1.0)
2009,North Carolina,219,(1.1)
2009,North Dakota,226,(0.8)
2009,Ohio,225,(1.1)
2009,Oklahoma,217,(1.1)
2009,Oregon,218,(1.2)
2009,Pennsylvania,224,(1.4)
2009,Rhode Island,223,(1.1)
2009,South Carolina,216,(1.1)
2009,South Dakota,222,(0.6)
2009,Tennessee,217,(1.2)
2009,Texas,219,(1.2)
2009,Utah,219,(1.0)
2009,Vermont,229,(0.8)
2009,Virginia,227,(1.2)
2009,Washington,221,(1.2)
2009,West Virginia,215,(1.0)
2009,Wisconsin,220,(1.1)
2009,Wyoming,223,(0.7)
2009,DoDEA,228,(0.5)
2009,Albuquerque,—,†
2009,Atlanta,209,(1.5)
2009,Austin,220,(1.8)
2009,Baltimore City,202,(1.7)
2009,Boston,215,(1.2)
2009,Charlotte,225,(1.6)
2009,Chicago,202,(1.5)
2009,Cleveland,194,(2.0)
2009,Dallas,—,†
2009,Detroit,187,(1.9)
2009,District of Columbia (DCPS),203,(1.2)
2009,Duval County (FL),—,†
2009,Fresno,197,(1.7)
2009,Hillsborough County (FL),—,†
2009,Houston,211,(1.7)
2009,Jefferson County (KY),219,(1.8)
2009,Los Angeles,197,(1.1)
2009,Miami-Dade,221,(1.2)
2009,Milwaukee,196,(2.0)
2009,New York City,217,(1.4)
2009,Philadelphia,195,(1.8)
2009,San Diego,213,(2.1)
2007,Alabama,216,(1.3)
2007,Alaska,214,(1.0)
2007,Arizona,210,(1.6)
2007,Arkansas,217,(1.2)
2007,California,209,(1.0)
2007,Colorado,224,(1.1)
2007,Connecticut,227,(1.3)
2007,Delaware,225,(0.7)
2007,District of Columbia,197,(0.9)
2007,Florida,224,(0.8)
2007,Georgia,219,(0.9)
2007,Hawaii,213,(1.1)
2007,Idaho,223,(0.8)
2007,Illinois,219,(1.2)
2007,Indiana,222,(0.9)
2007,Iowa,225,(1.1)
2007,Kansas,225,(1.1)
2007,Kentucky,222,(1.1)
2007,Louisiana,207,(1.6)
2007,Maine,226,(0.9)
2007,Maryland,225,(1.1)
2007,Massachusetts,236,(1.1)
2007,Michigan,220,(1.4)
2007,Minnesota,225,(1.1)
2007,Mississippi,208,(1.0)
2007,Missouri,221,(1.1)
2007,Montana,227,(1.0)
2007,Nebraska,223,(1.3)
2007,Nevada,211,(1.2)
2007,New Hampshire,229,(0.9)
2007,New Jersey,231,(1.2)
2007,New Mexico,212,(1.3)
2007,New York,224,(1.0)
2007,North Carolina,218,(0.9)
2007,North Dakota,226,(0.9)
2007,Ohio,226,(1.1)
2007,Oklahoma,217,(1.1)
2007,Oregon,215,(1.4)
2007,Pennsylvania,226,(1.0)
2007,Rhode Island,219,(1.0)
2007,South Carolina,214,(1.2)
2007,South Dakota,223,(1.0)
2007,Tennessee,216,(1.2)
2007,Texas,220,(0.9)
2007,Utah,221,(1.2)
2007,Vermont,228,(0.8)
2007,Virginia,227,(1.1)
2007,Washington,224,(1.4)
2007,West Virginia,215,(1.1)
2007,Wisconsin,223,(1.2)
2007,Wyoming,225,(0.5)
2007,DoDEA,229,(0.5)
2007,Albuquerque,—,†
2007,Atlanta,207,(1.5)
2007,Austin,218,(2.0)
2007,Baltimore City,—,†
2007,Boston,210,(1.9)
2007,Charlotte,222,(1.5)
2007,Chicago,201,(1.5)
2007,Cleveland,198,(1.7)
2007,Dallas,—,†
2007,Detroit,—,†
2007,District of Columbia (DCPS),197,(0.9)
2007,Duval County (FL),—,†
2007,Fresno,—,†
2007,Hillsborough County (FL),—,†
2007,Houston,206,(1.2)
2007,Jefferson County (KY),—,†
2007,Los Angeles,196,(1.3)
2007,Miami-Dade,—,†
2007,Milwaukee,—,†
2007,New York City,213,(1.1)
2007,Philadelphia,—,†
